theta Angle (-180/180);Phi Angle (0/175 with 5 step); Gain PCD (magnitude); Gain PCD (phase)
-179.012;0.09;-41.11653752;-1.900256048
-178.38;0.09;-39.89919973;27.85170096
-177.336;0.09;-36.97547332;41.88154561
-176.397;0.09;-37.74415811;77.74346739
-175.353;0.09;-37.42784205;105.953598
-174.287;0.09;-34.22893844;137.6660257
-173.376;0.09;-34.54880833;146.9073727
-172.282;0.09;-31.80744899;156.9388168
-171.332;0.09;-31.4801552;173.9051696
-170.332;0.09;-30.03939308;-172.0724212
-169.322;0.09;-28.90719905;-163.1148919
-168.371;0.09;-27.82491577;-154.846964
-167.355;0.09;-26.56267327;-148.0456096
-166.267;0.09;-26.3880237;-139.7279263
-165.334;0.09;-25.50621903;-131.5862039
-164.284;0.09;-24.91512468;-127.182195
-163.323;0.09;-24.04075929;-124.1476406
-162.312;0.09;-24.3413801;-121.8139767
-161.329;0.09;-24.09152056;-116.5257239
-160.296;0.09;-24.4476471;-112.9392378
-159.291;0.09;-24.67263927;-107.3294505
-158.357;0.09;-24.49508817;-107.1086171
-157.336;0.09;-24.25781396;-106.5377551
-156.374;0.09;-23.31391489;-109.676008
-155.237;0.09;-22.41197696;-112.894368
-154.358;0.09;-21.89597916;-116.4859224
-153.298;0.09;-21.73574486;-119.338945
-152.353;0.09;-22.18624565;-118.9008696
-151.348;0.09;-22.40607155;-117.0518947
-150.277;0.09;-22.92228261;-115.5272846
-149.277;0.09;-22.86781856;-111.6001182
-148.332;0.09;-22.57955062;-112.6372283
-147.387;0.09;-22.49601531;-109.3730653
-146.333;0.09;-22.82815597;-107.3110899
-145.366;0.09;-23.04274841;-102.9241467
-144.333;0.09;-23.14460741;-100.4054812
-143.41;0.09;-23.29064639;-102.2826049
-142.339;0.09;-23.39320057;-107.2620239
-141.35;0.09;-23.14889386;-110.162683
-140.351;0.09;-23.2413155;-107.9193889
-139.373;0.09;-22.86323546;-105.3556373
-138.335;0.09;-22.54377381;-97.06990691
-137.368;0.09;-22.45139479;-92.74388899
-136.368;0.09;-22.65189318;-87.93484258
-135.368;0.09;-22.41295804;-78.90673465
-134.325;0.09;-23.07330376;-79.4991344
-133.237;0.09;-23.38033954;-80.79358028
-132.292;0.09;-23.26160936;-84.01518379
-131.331;0.09;-23.57851696;-79.15538502
-130.315;0.09;-22.64236947;-71.14772697
-129.342;0.09;-21.23316771;-70.49943892
-128.326;0.09;-20.62401225;-75.59609539
-127.282;0.09;-20.4295379;-76.43968697
-126.299;0.09;-20.73452799;-79.01010999
-125.299;0.09;-20.95427405;-81.45975691
-124.256;0.09;-20.59448856;-92.2300082
-123.327;0.09;-20.34023154;-94.70000046
-122.295;0.09;-19.26240122;-97.57033893
-121.295;0.09;-18.73111014;-101.0176305
-120.383;0.09;-18.59978281;-98.94649685
-119.334;0.09;-18.60126004;-100.7737346
-118.351;0.09;-19.3588369;-108.2276844
-117.345;0.09;-20.29825755;-115.9185993
-116.291;0.09;-20.73042827;-121.816311
-115.302;0.09;-19.95721323;-122.3300642
-114.275;0.09;-19.01973468;-126.8583165
-113.269;0.09;-18.77255817;-126.9194343
-112.363;0.09;-18.37191405;-127.7581758
-111.292;0.09;-18.7978681;-127.1702862
-110.27;0.09;-19.14177796;-129.3051841
-109.325;0.09;-19.18928235;-131.5366336
-108.287;0.09;-18.76143691;-140.0505835
-107.293;0.09;-17.47548256;-148.5435325
-106.277;0.09;-16.73358735;-154.1958019
-105.348;0.09;-15.94315572;-155.2564043
-104.376;0.09;-15.64300311;-159.8452877
-103.294;0.09;-15.81770502;-166.8310118
-102.387;0.09;-16.12575618;-175.5113875
-101.36;0.09;-16.23160253;173.9903851
-100.273;0.09;-16.11292237;161.804815
-99.344;0.09;-15.94956473;161.6246899
-98.366;0.09;-15.46978927;157.8877079
-97.361;0.09;-15.94671367;160.512724
-96.383;0.09;-15.99272453;160.1270822
-95.219;0.09;-16.66307806;146.6088122
-94.159;0.09;-15.71814879;141.1067212
-93.335;0.09;-15.07067924;130.652199
-92.379;0.09;-14.33751183;123.2567243
-91.341;0.09;-14.09975492;118.1537613
-90.368;0.09;-14.27121556;117.9166502
-89.38;0.09;-14.74764613;111.8786946
-88.336;0.09;-15.64430516;94.18850381
-87.281;0.09;-15.39593304;80.88843067
-86.375;0.09;-14.7082328;81.5126715
-85.32;0.09;-13.98476131;77.80575861
-84.282;0.09;-14.12039342;74.50709196
-83.266;0.09;-13.81921664;68.6857121
-82.326;0.09;-13.93069802;65.92740869
-81.36;0.09;-14.10573794;49.28748582
-80.316;0.09;-13.74943443;37.04643056
-79.355;0.09;-12.85451505;34.16578638
-78.377;0.09;-12.46774354;24.70188838
-77.3;0.09;-12.52468598;18.87013929
-76.344;0.09;-12.97664166;14.90307592
-75.295;0.09;-14.05871215;8.723790763
-74.284;0.09;-14.32109246;-5.712250648
-73.279;0.09;-14.35364986;-17.04236668
-72.34;0.09;-13.29718081;-21.68523374
-71.362;0.09;-12.80615379;-27.45120979
-70.362;0.09;-12.59415559;-28.70962201
-69.368;0.09;-13.24325865;-32.40059205
-68.379;0.09;-13.78878566;-41.74051823
-67.319;0.09;-14.39186782;-70.88694055
-66.374;0.09;-14.42360251;-80.45949012
-65.309;0.09;-13.96496899;-96.20069907
-64.358;0.09;-13.98549378;-105.7489008
-63.309;0.09;-14.48805827;-112.3281584
-62.315;0.09;-15.85810754;-120.2749704
-61.392;0.09;-16.98077634;-130.5763979
-60.315;0.09;-15.93588593;-161.5572687
-59.321;0.09;-14.73448252;-177.7055336
-58.338;0.09;-12.80717411;171.2580792
-57.333;0.09;-11.67730229;159.3135989
-56.289;0.09;-11.29982325;150.7916259
-55.317;0.09;-10.7897156;140.9049516
-54.333;0.09;-9.969745865;127.4510333
-53.273;0.09;-8.076047265;112.5533788
-52.35;0.09;-7.074222731;104.6323325
-51.318;0.09;-5.561849351;98.60743987
-50.318;0.09;-4.693518717;92.06926117
-49.302;0.09;-3.618585027;86.94147027
-48.368;0.09;-2.905986382;82.14269933
-47.384;0.09;-2.307133934;77.04256323
-46.401;0.09;-1.639300131;72.7413682
-45.286;0.09;-0.685740135;65.00592523
-44.27;0.09;-0.064007374;60.26282909
-43.292;0.09;0.326050721;57.81789399
-42.364;0.09;0.758330666;53.43321219
-41.314;0.09;1.234813754;45.93835657
-40.364;0.09;1.54273267;41.63114631
-39.326;0.09;2.05436983778482;36.4521871597166
-38.299;0.09;2.67330986116257;30.1021717962068
-37.299;0.09;3.37387916748521;22.4454526077296
-36.288;0.09;4.05512421899292;17.9912992358867
-35.354;0.09;4.62688606790603;14.0214034910019
-34.371;0.09;5.15484604822987;11.0731678896036
-33.311;0.09;5.69298787672282;8.28012939285543
-32.289;0.09;6.13887324338978;5.29163556669197
-31.377;0.09;6.50548456020455;3.38227152785016
-30.383;0.09;6.79728441921007;1.34449482587042
-29.317;0.09;7.15327701770651;-2.7739705824018
-28.34;0.09;7.43474402001681;-4.75568834771146
-27.3559999999999;0.09;7.71537833586352;-7.38701978293131
-26.384;0.09;8.02631762719745;-9.79137765835057
-25.373;0.09;8.32785259537721;-13.4147944558016
-24.335;0.09;8.60423208093237;-15.4250338936074
-23.357;0.09;8.89149718777548;-17.5885796159961
-22.336;0.09;9.17535712708274;-19.4758804591695
-21.336;0.09;9.43986464297406;-22.3137431365957
-20.3089999999999;0.09;9.69015922951506;-24.2875437133121
-19.342;0.09;9.91073945737167;-25.9752095793117
-18.331;0.09;10.0704650399027;-27.7643692788029
-17.381;0.09;10.2989930139438;-29.1473197554243
-16.282;0.09;10.4974116342149;-30.6454644787529
